Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
87,90706,1,13,14,9,4,27,3.703703704,48.14814815,51.85185185,33.33333333,14.81481481,535300
88,90710,36,79,115,130,223,468,7.692307692,16.88034188,24.57264957,27.77777778,47.64957265,523400
89,90712,126,199,325,318,525,1168,10.78767123,17.03767123,27.82534247,27.2260274,44.94863014,622800
90,90713,201,311,512,381,376,1269,15.8392435,24.50748621,40.34672971,30.02364066,29.62962963,638600
91,90715,6,4,10,3,2,15,40,26.66666667,66.66666667,20,13.33333333,555400
92,90716,0,3,3,4,5,12,0,25,25,33.33333333,41.66666667,442000
93,90720,197,219,416,146,133,695,28.34532374,31.51079137,59.85611511,21.00719424,19.13669065,1004200
94,90723,232,621,853,1507,3272,5632,4.119318182,11.02627841,15.14559659,26.7578125,58.09659091,411900
95,90731,21,64,85,73,119,277,7.581227437,23.10469314,30.68592058,26.35379061,42.96028881,657700
96,90744,52,113,165,167,279,611,8.510638298,18.49427169,27.00490998,27.33224223,45.66284779,471000
97,90745,28,80,108,132,228,468,5.982905983,17.09401709,23.07692308,28.20512821,48.71794872,516000
98,90746,3,12,15,16,13,44,6.818181818,27.27272727,34.09090909,36.36363636,29.54545455,585600
99,90755,102,167,269,303,480,1052,9.69581749,15.87452471,25.57034221,28.80228137,45.62737643,553100
100,90802,118,202,320,400,773,1493,7.9035499,13.52980576,21.43335566,26.79169457,51.77494977,460300
101,90803,426,341,767,323,274,1364,31.23167155,25,56.23167155,23.68035191,20.08797654,943000
102,90804,213,341,554,642,1047,2243,9.496210432,15.20285332,24.69906375,28.62238074,46.67855551,541000
103,90805,262,653,915,1302,2585,4802,5.456059975,13.59850062,19.0545606,27.11370262,53.83173678,469100
104,90806,143,233,376,417,723,1516,9.432717678,15.36939314,24.80211082,27.50659631,47.69129288,568400
105,90807,441,467,908,586,700,2194,20.10027347,21.28532361,41.38559708,26.70920693,31.90519599,661100
106,90808,1078,1037,2115,1083,877,4075,26.45398773,25.44785276,51.90184049,26.57668712,21.52147239,708300
107,90810,178,332,510,658,1101,2269,7.84486558,14.63199647,22.47686205,28.99955928,48.52357867,464500
108,90813,286,437,723,663,1264,2650,10.79245283,16.49056604,27.28301887,25.01886792,47.69811321,430500
109,90814,93,126,219,126,162,507,18.34319527,24.85207101,43.19526627,24.85207101,31.95266272,738900
110,90815,734,728,1462,722,502,2686,27.32688012,27.10349963,54.43037975,26.88011914,18.68950112,701600
111,91001,13,19,32,39,81,152,8.552631579,12.5,21.05263158,25.65789474,53.28947368,887100
