Zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93206,16440.0,43889.0,578.0,24.3,160000.0,1085.0,1741.0,1403.0,7.0,0.0,0.0,1361.0,176.0,0.0,35.44402,-119.47578,Buttonwillow,Kern
93270,20090.0,42625.0,1738.0,39.6,198900.0,1338.0,5538.0,3597.0,3.0,63.0,0.0,3894.0,198.0,0.0,35.94703,-119.05669,Terra Bella,Tulare
95066,59437.0,109894.0,911.0,47.5,859900.0,3165.0,15275.0,12346.0,52.0,172.0,1176.0,1813.0,1003.0,59.0,37.0672,-122.01453,Scotts Valley,Santa Cruz
95120,82524.0,207959.0,1296.0,47.0,1450700.0,4001.0,38177.0,19961.0,677.0,115.0,13985.0,2610.0,2889.0,546.0,37.18428,-121.83658,San Jose,Santa Clara
95123,48430.0,121404.0,4268.0,37.6,851400.0,3193.0,70005.0,37386.0,2376.0,379.0,17727.0,19856.0,6613.0,1131.0,37.24479,-121.83306,San Jose,Santa Clara
95225,28170.0,85532.0,133.0,58.8,325000.0,-666666666.0,618.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,38.20399,-120.86488,Burson,Calaveras
95228,41597.0,84885.0,321.0,54.0,358900.0,1900.0,4486.0,3803.0,150.0,0.0,84.0,671.0,355.0,0.0,37.94669,-120.68067,Copperopolis,Calaveras
95242,42281.0,75491.0,2059.0,40.2,404200.0,2131.0,27340.0,19320.0,529.0,40.0,1847.0,6748.0,4001.0,46.0,38.13204,-121.38875,Lodi,San Joaquin
95258,45785.0,94464.0,181.0,45.7,427200.0,2345.0,3820.0,3294.0,156.0,0.0,41.0,691.0,299.0,9.0,38.16811,-121.31011,Woodbridge,San Joaquin
95301,26936.0,60993.0,6448.0,34.5,277700.0,1646.0,39922.0,22887.0,1801.0,416.0,2441.0,20233.0,2099.0,68.0,37.30634,-120.65119,Atwater,Merced
95324,32345.0,70045.0,886.0,33.8,322200.0,1688.0,8738.0,5510.0,0.0,80.0,16.0,3471.0,841.0,0.0,37.39452,-120.89605,Hilmar,Merced
95330,26461.0,89653.0,2645.0,32.7,386500.0,2069.0,24096.0,10334.0,1588.0,308.0,6373.0,9698.0,2479.0,133.0,37.8117,-121.31331,Lathrop,San Joaquin
95346,41336.0,77557.0,93.0,59.9,332000.0,1681.0,1159.0,1143.0,0.0,0.0,16.0,27.0,0.0,0.0,38.07045,-120.17291,Mi Wuk Village,Tuolumne
95365,15066.0,45640.0,1306.0,30.0,150000.0,941.0,4292.0,1702.0,0.0,26.0,0.0,4162.0,68.0,0.0,37.3012,-120.33152,Planada,Merced
95380,23565.0,48137.0,9048.0,31.7,298100.0,1600.0,43973.0,32706.0,676.0,267.0,1041.0,22555.0,2532.0,83.0,37.47226,-120.86978,Turlock,Stanislaus
95385,25547.0,70189.0,19.0,35.0,-666666666.0,-666666666.0,430.0,404.0,0.0,0.0,0.0,209.0,26.0,0.0,37.612,-121.24773,Vernalis,Stanislaus
95389,34468.0,39097.0,198.0,44.3,650700.0,-666666666.0,1464.0,1117.0,104.0,0.0,60.0,317.0,24.0,63.0,37.73784,-119.52556,Yosemite National Park,Mariposa
95405,46174.0,94411.0,1411.0,46.0,620700.0,2395.0,22875.0,18889.0,351.0,183.0,868.0,2829.0,1497.0,58.0,38.43926,-122.66908,Santa Rosa,Sonoma
95412,29691.0,69375.0,68.0,41.1,430000.0,2375.0,485.0,293.0,0.0,76.0,6.0,126.0,0.0,0.0,38.71168,-123.31967,Annapolis,Sonoma
95431,8952.0,-666666666.0,37.0,63.6,-666666666.0,-666666666.0,121.0,83.0,8.0,15.0,9.0,7.0,1.0,0.0,38.34897,-122.51625,Eldridge,Sonoma
95436,42256.0,75417.0,541.0,42.6,549700.0,2447.0,6602.0,5358.0,37.0,41.0,210.0,503.0,776.0,21.0,38.49108,-122.91425,Forestville,Sonoma
95441,56340.0,111198.0,161.0,49.9,1043100.0,2722.0,1696.0,1345.0,12.0,8.0,31.0,378.0,87.0,4.0,38.73775,-123.0354,Geyserville,Sonoma
95451,31721.0,54189.0,1528.0,43.1,257800.0,1625.0,12031.0,8508.0,463.0,20.0,45.0,3535.0,811.0,1.0,38.9388,-122.80484,Kelseyville,Lake
95462,36217.0,45417.0,93.0,57.5,511500.0,2226.0,1224.0,1136.0,0.0,0.0,53.0,56.0,35.0,16.0,38.47263,-123.02064,Monte Rio,Sonoma
95470,34059.0,63969.0,556.0,43.8,456600.0,2288.0,5359.0,4382.0,0.0,291.0,35.0,1489.0,305.0,0.0,39.30019,-123.22984,Redwood Valley,Mendocino
95472,50154.0,95417.0,2367.0,51.3,851400.0,2842.0,29690.0,25166.0,232.0,38.0,514.0,4111.0,1829.0,197.0,38.39738,-122.86668,Sebastopol,Sonoma
95482,30199.0,56556.0,5420.0,39.4,377900.0,1938.0,31714.0,25307.0,161.0,1028.0,976.0,10641.0,2256.0,23.0,39.1618,-123.23925,Ukiah,Mendocino
95497,57474.0,78125.0,109.0,67.8,935300.0,3043.0,1156.0,1078.0,0.0,0.0,8.0,194.0,0.0,0.0,38.71976,-123.45601,The Sea Ranch,Sonoma
95503,31324.0,57565.0,4160.0,42.7,324200.0,1724.0,24631.0,20516.0,159.0,467.0,1104.0,2106.0,1741.0,96.0,40.72406,-124.09178,Eureka,Humboldt
95519,29806.0,56422.0,3016.0,35.9,320100.0,1922.0,18831.0,15522.0,54.0,771.0,639.0,1946.0,1326.0,22.0,40.95833,-124.04983,Mckinleyville,Humboldt
95531,23485.0,48635.0,3640.0,38.8,228700.0,1406.0,24052.0,17457.0,724.0,1441.0,785.0,5131.0,1855.0,31.0,41.79288,-124.00473,Crescent City,Del Norte
95536,37777.0,61081.0,298.0,45.9,450900.0,2004.0,3081.0,2573.0,0.0,31.0,26.0,435.0,334.0,0.0,40.51069,-124.26547,Ferndale,Humboldt
95537,17883.0,-666666666.0,238.0,27.5,-666666666.0,-666666666.0,577.0,528.0,49.0,0.0,0.0,0.0,0.0,0.0,40.745,-124.21472,Fields Landing,Humboldt
95559,,2499.0,53.0,53.9,-666666666.0,-666666666.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18977,-123.7512,Phillipsville,Humboldt
95564,29750.0,41875.0,49.0,50.0,325000.0,1167.0,465.0,349.0,0.0,4.0,1.0,37.0,86.0,24.0,40.79023,-124.20312,Samoa,Humboldt
95607,61282.0,76726.0,0.0,68.1,745400.0,3750.0,303.0,288.0,0.0,0.0,0.0,8.0,15.0,0.0,38.7899,-122.12585,Capay,Yolo
95608,41253.0,67766.0,7373.0,42.6,421100.0,2038.0,62330.0,47717.0,3270.0,265.0,4530.0,8936.0,5015.0,191.0,38.62611,-121.32886,Carmichael,Sacramento
95619,28046.0,57052.0,951.0,40.7,281200.0,1656.0,6504.0,5871.0,40.0,38.0,219.0,1473.0,220.0,35.0,38.68218,-120.81401,Diamond Springs,El Dorado
95624,37173.0,100453.0,5407.0,37.6,434100.0,2199.0,67017.0,32567.0,5836.0,519.0,16404.0,11766.0,6625.0,466.0,38.43203,-121.30506,Elk Grove,Sacramento
95004,45953.0,114063.0,72.0,35.6,783900.0,3110.0,4295.0,3281.0,31.0,0.0,188.0,2035.0,271.0,42.0,36.86818,-121.63237,Aromas,Monterey
95032,85168.0,153214.0,888.0,45.7,1638400.0,4001.0,25865.0,19178.0,282.0,19.0,4456.0,1971.0,1668.0,121.0,37.20859,-121.92359,Los Gatos,Santa Clara
95060,48437.0,87159.0,9759.0,35.3,927600.0,3132.0,48910.0,37502.0,840.0,371.0,3477.0,9388.0,3581.0,1233.0,37.01352,-122.10176,Santa Cruz,Santa Cruz
94061,59110.0,119370.0,2070.0,37.3,1520700.0,4001.0,38158.0,22895.0,371.0,152.0,4581.0,14156.0,2530.0,948.0,37.46136,-122.23731,Redwood City,San Mateo
91766,21623.0,61018.0,12003.0,32.9,426300.0,1953.0,71189.0,27710.0,3597.0,1546.0,9275.0,52101.0,5772.0,544.0,34.04192,-117.75698,Pomona,Los Angeles
91767,23583.0,63283.0,9060.0,34.6,424300.0,2056.0,50493.0,21126.0,3839.0,1334.0,4424.0,34637.0,5402.0,578.0,34.08143,-117.73868,Pomona,Los Angeles
91770,22062.0,61394.0,7845.0,41.8,570800.0,2254.0,63177.0,7876.0,332.0,491.0,41008.0,18511.0,1577.0,593.0,34.06395,-118.08361,Rosemead,Los Angeles
91776,26372.0,65563.0,4929.0,42.5,641700.0,2356.0,38675.0,5786.0,201.0,50.0,24773.0,10103.0,1460.0,746.0,34.08987,-118.09519,San Gabriel,Los Angeles
93606,11993.0,-666666666.0,348.0,24.5,149300.0,1115.0,776.0,693.0,0.0,51.0,0.0,776.0,0.0,0.0,36.79871,-120.01625,Biola,Fresno
93624,10120.0,35000.0,301.0,25.3,-666666666.0,-666666666.0,935.0,311.0,17.0,36.0,19.0,818.0,8.0,17.0,36.37258,-120.12125,Five Points,Fresno
93648,13918.0,38724.0,5038.0,28.6,175000.0,1174.0,16543.0,12529.0,59.0,9.0,97.0,15974.0,1262.0,18.0,36.6206,-119.52062,Parlier,Fresno
93654,20647.0,52642.0,6348.0,32.4,239000.0,1567.0,30798.0,22901.0,561.0,242.0,895.0,22435.0,2891.0,54.0,36.65747,-119.402,Reedley,Fresno
93656,18249.0,51830.0,1227.0,33.9,187000.0,1409.0,5806.0,3380.0,7.0,18.0,104.0,4178.0,260.0,0.0,36.45173,-119.93615,Riverdale,Fresno
93513,33657.0,56466.0,151.0,46.8,238200.0,1914.0,1461.0,938.0,29.0,318.0,14.0,169.0,117.0,11.0,37.18401,-118.17129,Big Pine,Inyo
93517,35737.0,70260.0,10.0,56.0,271800.0,1843.0,627.0,579.0,2.0,27.0,11.0,15.0,6.0,0.0,38.27091,-119.27372,Bridgeport,Mono
93543,18088.0,57003.0,3268.0,33.0,246700.0,1360.0,14605.0,6760.0,654.0,177.0,155.0,10378.0,716.0,0.0,34.47916,-117.97357,Littlerock,Los Angeles
93555,35816.0,70571.0,3889.0,37.7,185300.0,1441.0,33925.0,26498.0,1827.0,439.0,1286.0,6263.0,2048.0,21.0,35.58596,-117.68446,Ridgecrest,Kern
93604,79120.0,87159.0,0.0,62.4,662200.0,-666666666.0,366.0,362.0,0.0,0.0,4.0,0.0,0.0,0.0,37.3717,-119.52215,Bass Lake,Madera
93614,33678.0,72446.0,1128.0,46.8,285400.0,1763.0,12132.0,10410.0,126.0,332.0,151.0,1628.0,771.0,43.0,37.21282,-119.72659,Coarsegold,Madera
93625,24230.0,58690.0,1152.0,35.3,276100.0,1894.0,7695.0,5444.0,68.0,51.0,782.0,4928.0,481.0,0.0,36.62423,-119.67173,Fowler,Fresno
93630,21764.0,62706.0,3290.0,28.5,242500.0,1540.0,20727.0,11561.0,90.0,276.0,781.0,16160.0,2549.0,26.0,36.71831,-120.12912,Kerman,Fresno
93631,31381.0,72786.0,1032.0,35.5,294100.0,1689.0,16163.0,12528.0,90.0,120.0,1222.0,7889.0,978.0,0.0,36.47653,-119.52131,Kingsburg,Tulare
93637,23256.0,61422.0,5722.0,31.9,256300.0,1574.0,41100.0,23110.0,1772.0,521.0,846.0,28893.0,3384.0,3.0,36.91099,-120.1922,Madera,Madera
93641,30522.0,-666666666.0,87.0,60.7,238200.0,-666666666.0,261.0,232.0,10.0,0.0,0.0,21.0,14.0,0.0,36.70481,-119.02167,Miramonte,Fresno
93643,27934.0,59452.0,427.0,46.1,246700.0,1488.0,3059.0,2387.0,0.0,290.0,41.0,510.0,268.0,0.0,37.27155,-119.45004,North Fork,Madera
93926,21009.0,70057.0,900.0,30.1,392400.0,1817.0,8893.0,2807.0,38.0,47.0,130.0,8178.0,688.0,23.0,36.52567,-121.3991,Gonzales,Monterey
96055,28122.0,61864.0,752.0,42.4,237900.0,1536.0,4194.0,3654.0,0.0,42.0,66.0,1134.0,333.0,9.0,40.10249,-122.03213,Los Molinos,Tehama
96033,22703.0,44167.0,46.0,49.7,115800.0,1313.0,484.0,417.0,3.0,6.0,15.0,31.0,39.0,7.0,40.75076,-122.60004,French Gulch,Shasta
96034,26345.0,43750.0,55.0,49.8,277500.0,1385.0,328.0,264.0,12.0,28.0,2.0,33.0,16.0,0.0,41.44177,-122.60772,Gazelle,Siskiyou
93004,39964.0,92074.0,1882.0,40.0,582500.0,2581.0,31283.0,24305.0,646.0,472.0,1382.0,12560.0,2698.0,234.0,34.27901,-119.16537,Ventura,Ventura
93291,26752.0,65729.0,9363.0,32.8,282300.0,1714.0,58394.0,36415.0,1040.0,400.0,5897.0,32246.0,3230.0,148.0,36.38931,-119.36838,Visalia,Tulare
95595,121516.0,-666666666.0,14.0,60.3,-666666666.0,-666666666.0,160.0,102.0,0.0,9.0,0.0,0.0,49.0,0.0,40.11074,-123.26642,Zenia,Trinity
95621,32828.0,66280.0,4058.0,39.1,297400.0,1693.0,41755.0,33157.0,1484.0,220.0,1269.0,7619.0,3334.0,305.0,38.69551,-121.30862,Citrus Heights,Sacramento
95623,36174.0,67961.0,684.0,49.9,429700.0,1978.0,3949.0,3583.0,0.0,49.0,177.0,182.0,81.0,43.0,38.6075,-120.84873,El Dorado,El Dorado
95140,54654.0,-666666666.0,12.0,48.4,1145800.0,-666666666.0,56.0,56.0,0.0,0.0,0.0,12.0,0.0,0.0,37.3483,-121.64085,Mount Hamilton,Santa Clara
95937,31823.0,41125.0,234.0,43.9,-666666666.0,1645.0,1542.0,1190.0,92.0,0.0,35.0,656.0,225.0,9.0,38.88403,-121.99847,Dunnigan,Yolo
95939,21767.0,46125.0,116.0,36.1,139800.0,1172.0,592.0,352.0,42.0,145.0,0.0,101.0,15.0,0.0,39.56755,-122.60224,Elk Creek,Glenn
91945,26241.0,67236.0,3011.0,35.8,456400.0,2139.0,26923.0,14287.0,4461.0,296.0,1987.0,11532.0,3244.0,296.0,32.73315,-117.03402,Lemon Grove,San Diego
91377,61934.0,137047.0,517.0,42.2,806700.0,3243.0,13987.0,10240.0,131.0,9.0,2463.0,1233.0,918.0,0.0,34.1847,-118.76652,Oak Park,Ventura
91403,71830.0,101021.0,1659.0,40.5,1111300.0,4001.0,25837.0,19775.0,1458.0,3.0,2064.0,3343.0,1681.0,361.0,34.14716,-118.46311,Sherman Oaks,Los Angeles
91411,32048.0,61914.0,4395.0,35.6,711500.0,2848.0,24893.0,15152.0,1710.0,0.0,1668.0,12278.0,1724.0,1024.0,34.17853,-118.45956,Van Nuys,Los Angeles
90242,27871.0,73037.0,2847.0,35.1,527600.0,2210.0,41703.0,20092.0,1980.0,274.0,2864.0,31607.0,2327.0,541.0,33.92216,-118.14167,Downey,Los Angeles
90620,33629.0,99351.0,3722.0,37.8,607500.0,2393.0,46228.0,23172.0,1085.0,545.0,14104.0,15450.0,3486.0,399.0,33.84616,-118.01176,Buena Park,Orange
90623,41068.0,107956.0,955.0,44.1,688000.0,2800.0,15624.0,5630.0,732.0,51.0,7601.0,3135.0,1068.0,167.0,33.85038,-118.04088,La Palma,Orange
90630,40698.0,102263.0,3244.0,41.8,664700.0,2662.0,49378.0,23835.0,1526.0,279.0,18233.0,9206.0,3101.0,267.0,33.81814,-118.03814,Cypress,Orange
90713,39872.0,108311.0,1306.0,39.8,608800.0,2521.0,27905.0,16152.0,1451.0,162.0,3933.0,8086.0,3263.0,188.0,33.84797,-118.11268,Lakewood,Los Angeles
90715,28782.0,74471.0,1775.0,36.5,522200.0,2247.0,20505.0,6482.0,1972.0,154.0,5542.0,8665.0,1558.0,284.0,33.84037,-118.07887,Lakewood,Los Angeles
90716,18604.0,61525.0,2782.0,32.6,430000.0,1907.0,14170.0,3192.0,322.0,271.0,1554.0,10962.0,829.0,8.0,33.8305,-118.07295,Hawaiian Gardens,Los Angeles
90717,38641.0,75286.0,2848.0,40.9,619500.0,2706.0,20919.0,11757.0,1252.0,138.0,3738.0,7253.0,1504.0,335.0,33.79345,-118.31706,Lomita,Los Angeles
90731,33134.0,56881.0,9802.0,38.2,618000.0,2692.0,60813.0,35477.0,3789.0,537.0,3440.0,34131.0,5676.0,1477.0,33.7334,-118.27398,San Pedro,Los Angeles
90744,18718.0,50965.0,11086.0,31.4,428400.0,2101.0,56450.0,33107.0,1453.0,256.0,1853.0,50202.0,3078.0,1011.0,33.77821,-118.26087,Wilmington,Los Angeles
90746,36525.0,87713.0,2020.0,44.3,548700.0,2336.0,27458.0,3269.0,17122.0,0.0,2647.0,4998.0,1897.0,400.0,33.85855,-118.25518,Carson,Los Angeles
90822,14543.0,-666666666.0,0.0,67.8,-666666666.0,-666666666.0,133.0,107.0,16.0,0.0,4.0,14.0,6.0,0.0,33.77825,-118.11871,Long Beach,Los Angeles
90008,35220.0,47230.0,6407.0,42.7,724600.0,2698.0,31900.0,5048.0,20786.0,96.0,1117.0,7788.0,1490.0,1398.0,34.01037,-118.3428,Los Angeles,Los Angeles
90013,40705.0,21175.0,5845.0,43.7,652900.0,2442.0,13009.0,4522.0,3976.0,179.0,2202.0,2223.0,1026.0,1277.0,34.04435,-118.24,Los Angeles,Los Angeles
90016,27847.0,49958.0,7725.0,34.8,621500.0,2329.0,46340.0,18375.0,12776.0,72.0,2494.0,25309.0,4597.0,2216.0,34.02881,-118.35436,Los Angeles,Los Angeles
90017,27234.0,36870.0,10352.0,32.1,662500.0,2940.0,27832.0,10341.0,2893.0,161.0,4564.0,16887.0,1021.0,4172.0,34.05306,-118.26447,Los Angeles,Los Angeles
90036,63656.0,84315.0,3761.0,34.9,1585800.0,4001.0,38111.0,24163.0,2187.0,52.0,7744.0,4224.0,2390.0,730.0,34.07013,-118.34978,Los Angeles,Los Angeles
90064,71442.0,103045.0,2124.0,40.0,1299400.0,4001.0,25988.0,17112.0,671.0,150.0,5344.0,3699.0,1634.0,495.0,34.0358,-118.42653,Los Angeles,Los Angeles
90065,39987.0,76080.0,6225.0,37.0,785800.0,2976.0,47389.0,21167.0,775.0,803.0,7061.0,26017.0,4118.0,1581.0,34.10867,-118.22813,Los Angeles,Los Angeles
90241,29140.0,72274.0,4633.0,35.2,599200.0,2533.0,42759.0,23241.0,905.0,245.0,3466.0,31251.0,3863.0,842.0,33.94076,-118.1295,Downey,Los Angeles
90248,32018.0,63620.0,1093.0,44.7,539200.0,2400.0,11425.0,2779.0,1893.0,68.0,3840.0,4022.0,779.0,162.0,33.87689,-118.28362,Gardena,Los Angeles
90270,16234.0,50996.0,5484.0,31.6,427300.0,2157.0,27127.0,15514.0,248.0,70.0,142.0,26477.0,2979.0,729.0,33.98856,-118.18774,Maywood,Los Angeles
