zipcode,median,lat_x,lng_x,mortgage,lat_y,lng_y,city,population,density,county,county_seat,est,etymology,popl_2022,area,gdp_usd,gdp_rank
90042,731600,34.11475,-118.19200000000001,6812,34.11475,-118.19200000000001,Los Angeles,59658,5096.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90043,684500,33.98876,-118.33519,7185,33.98876,-118.33519,Los Angeles,44272,4167.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90044,461200,33.952529999999996,-118.29194,6256,33.952529999999996,-118.29194,Los Angeles,100225,7584.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90045,1103500,33.95302,-118.40028000000001,5520,33.95302,-118.40028000000001,Los Angeles,41411,1486.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90046,1290400,34.10752,-118.36575,4434,34.10752,-118.36575,Los Angeles,48749,3322.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90047,519400,33.95456,-118.30899,7124,33.95456,-118.30899,Los Angeles,51494,4224.2,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90048,1441200,34.07293,-118.3727,2184,34.07293,-118.3727,Los Angeles,20504,4180.5,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90049,2000000,34.08749,-118.48976,5610,34.08749,-118.48976,Los Angeles,35853,924.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90056,1114900,33.99361,-118.36883999999999,1419,33.99361,-118.36883999999999,Los Angeles,7956,1360.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90057,576200,34.06205,-118.27703999999999,375,34.06205,-118.27703999999999,Los Angeles,47604,20886.7,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90058,419600,34.00264,-118.21452,182,34.00264,-118.21452,Los Angeles,3659,244.2,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90059,415100,33.92709,-118.2491,3815,33.92709,-118.2491,Los Angeles,41315,5045.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90061,438800,33.92037,-118.27383,2496,33.92037,-118.27383,Los Angeles,29992,4267.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90062,550600,34.0035,-118.30904,3348,34.0035,-118.30904,Los Angeles,34277,6935.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90063,481100,34.0452,-118.18583000000001,3196,34.0452,-118.18583000000001,Los Angeles,52954,6224.3,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90064,1388300,34.0358,-118.42653,3808,34.0358,-118.42653,Los Angeles,25161,2608.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90065,833400,34.108670000000004,-118.22813000000001,5371,34.108670000000004,-118.22813000000001,Los Angeles,46432,3265.3,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90066,1282100,34.00166,-118.43104,5865,34.00166,-118.43104,Los Angeles,54913,4409.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90067,1344900,34.0565,-118.41373,556,34.0565,-118.41373,Los Angeles,2483,2228.7,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90068,1500800,34.12794,-118.32914,4003,34.12794,-118.32914,Los Angeles,21127,1019.2,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90069,890100,34.09401,-118.38153999999999,3775,34.09401,-118.38153999999999,West Hollywood,20185,3621.8,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90077,2000000,34.10536,-118.45591,1843,34.10536,-118.45591,Los Angeles,7729,411.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90094,1132000,33.975229999999996,-118.41837,1549,33.975229999999996,-118.41837,Playa Vista,11426,6174.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90201,440500,33.97113,-118.1709,3353,33.97113,-118.1709,Bell Gardens,96605,6229.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90210,2000000,34.102509999999995,-118.41505,3996,34.102509999999995,-118.41505,Beverly Hills,19627,705.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90211,2000000,34.06498,-118.38293,760,34.06498,-118.38293,Beverly Hills,9202,5074.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
