Year,County_name,County_dept,Crimes,Number of Crimes
2021,Mariposa County,Mariposa Co. Sheriff's Department,Robbery_sum,2
2021,Mendocino County,Mendocino Co. Sheriff's Department,Robbery_sum,33
2021,Merced County,Merced Co. Sheriff's Department,Robbery_sum,314
2021,Modoc County,Modoc Co. Sheriff's Department,Robbery_sum,0
2021,Mono County,Mono Co. Sheriff's Department,Robbery_sum,1
2021,Monterey County,Monterey Co. Sheriff's Department,Robbery_sum,381
2021,Napa County,Napa Co. Sheriff's Department,Robbery_sum,66
2021,Nevada County,Nevada Co. Sheriff's Department,Robbery_sum,18
2021,Orange County,Orange Co. Sheriff's Department,Robbery_sum,1912
2021,Placer County,Placer Co. Sheriff's Department,Robbery_sum,126
2021,Plumas County,Plumas Co. Sheriff's Department,Robbery_sum,4
2021,Riverside County,Riverside Co. Sheriff's Department,Robbery_sum,1607
2021,Sacramento County,Sacramento Co. Sheriff's Department,Robbery_sum,1798
2021,San Benito County,San Benito Co. Sheriff's Department,Robbery_sum,34
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,Robbery_sum,2173
2021,San Diego County,San Diego Co. Sheriff's Department,Robbery_sum,2440
2021,San Francisco County,San Francisco,Robbery_sum,2297
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,Robbery_sum,1046
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,Robbery_sum,81
2021,San Mateo County,San Mateo Co. Sheriff's Department,Robbery_sum,522
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,Robbery_sum,271
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,Robbery_sum,1759
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,Robbery_sum,192
2021,Shasta County,Shasta Co. Sheriff's Department,Robbery_sum,0
2021,Sierra County,Sierra Co. Sheriff's Department,Robbery_sum,0
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,Robbery_sum,14
2021,Solano County,Solano Co. Sheriff's Department,Robbery_sum,602
2021,Sonoma County,Sonoma Co. Sheriff's Department,Robbery_sum,201
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,Robbery_sum,503
2021,Sutter County,Sutter Co. Sheriff's Department,Robbery_sum,65
2021,Tehama County,Tehama Co. Sheriff's Department,Robbery_sum,47
2021,Trinity County,Trinity Co. Sheriff's Department,Robbery_sum,7
2021,Tulare County,Tulare Co. Sheriff's Department,Robbery_sum,266
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,Robbery_sum,19
2021,Ventura County,Ventura Co. Sheriff's Department,Robbery_sum,432
2021,Yolo County,Yolo Co. Sheriff's Department,Robbery_sum,150
2021,Yuba County,Yuba Co. Sheriff's Department,Robbery_sum,70
2021,Alameda County,Alameda Co. Sheriff's Department,AggAssault_sum,5149
2021,Alpine County,Alpine Co. Sheriff's Department,AggAssault_sum,17
2021,Amador County,Amador Co. Sheriff's Department,AggAssault_sum,109
2021,Butte County,Butte Co. Sheriff's Department,AggAssault_sum,826
2021,Calaveras County,Calaveras Co. Sheriff's Department,AggAssault_sum,144
2021,Colusa County,Colusa Co. Sheriff's Department,AggAssault_sum,35
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,AggAssault_sum,2695
2021,Del Norte County,Del Norte Co. Sheriff's Department,AggAssault_sum,152
2021,El Dorado County,El Dorado Co. Sheriff's Department,AggAssault_sum,384
2021,Fresno County,Fresno Co. Sheriff's Department,AggAssault_sum,5842
2021,Glenn County,Glenn Co. Sheriff's Department,AggAssault_sum,94
2021,Humboldt County,Humboldt Co. Sheriff's Department,AggAssault_sum,430
2021,Imperial County,Imperial Co. Sheriff's Department,AggAssault_sum,436
2021,Inyo County,Inyo Co. Sheriff's Department,AggAssault_sum,91
2021,Kern County,Kern Co. Sheriff's Department,AggAssault_sum,4990
2021,Kings County,Kings Co. Sheriff's Department,AggAssault_sum,517
2021,Lake County,Lake Co. Sheriff's Department,AggAssault_sum,295
2021,Lassen County,Lassen Co. Sheriff's Department,AggAssault_sum,61
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,AggAssault_sum,37731
2021,Madera County,Madera Co. Sheriff's Department,AggAssault_sum,844
2021,Marin County,Marin Co. Sheriff's Department,AggAssault_sum,209
2021,Mariposa County,Mariposa Co. Sheriff's Department,AggAssault_sum,63
2021,Mendocino County,Mendocino Co. Sheriff's Department,AggAssault_sum,379
2021,Merced County,Merced Co. Sheriff's Department,AggAssault_sum,1477
2021,Modoc County,Modoc Co. Sheriff's Department,AggAssault_sum,9
2021,Mono County,Mono Co. Sheriff's Department,AggAssault_sum,24
2021,Monterey County,Monterey Co. Sheriff's Department,AggAssault_sum,1433
2021,Napa County,Napa Co. Sheriff's Department,AggAssault_sum,443
2021,Nevada County,Nevada Co. Sheriff's Department,AggAssault_sum,189
2021,Orange County,Orange Co. Sheriff's Department,AggAssault_sum,5259
2021,Placer County,Placer Co. Sheriff's Department,AggAssault_sum,210
2021,Plumas County,Plumas Co. Sheriff's Department,AggAssault_sum,159
2021,Riverside County,Riverside Co. Sheriff's Department,AggAssault_sum,4952
2021,Sacramento County,Sacramento Co. Sheriff's Department,AggAssault_sum,5573
2021,San Benito County,San Benito Co. Sheriff's Department,AggAssault_sum,218
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,AggAssault_sum,9532
2021,San Diego County,San Diego Co. Sheriff's Department,AggAssault_sum,8837
2021,San Francisco County,San Francisco,AggAssault_sum,45265
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,AggAssault_sum,3984
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,AggAssault_sum,736
2021,San Mateo County,San Mateo Co. Sheriff's Department,AggAssault_sum,855
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,AggAssault_sum,1216
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,AggAssault_sum,4004
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,AggAssault_sum,735
2021,Shasta County,Shasta Co. Sheriff's Department,AggAssault_sum,26
2021,Sierra County,Sierra Co. Sheriff's Department,AggAssault_sum,6
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,AggAssault_sum,218
2021,Solano County,Solano Co. Sheriff's Department,AggAssault_sum,1390
2021,Sonoma County,Sonoma Co. Sheriff's Department,AggAssault_sum,1434
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,AggAssault_sum,2002
2021,Sutter County,Sutter Co. Sheriff's Department,AggAssault_sum,305
2021,Tehama County,Tehama Co. Sheriff's Department,AggAssault_sum,232
2021,Trinity County,Trinity Co. Sheriff's Department,AggAssault_sum,70
2021,Tulare County,Tulare Co. Sheriff's Department,AggAssault_sum,1403
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,AggAssault_sum,175
2021,Ventura County,Ventura Co. Sheriff's Department,AggAssault_sum,1091
2021,Yolo County,Yolo Co. Sheriff's Department,AggAssault_sum,459
2021,Yuba County,Yuba Co. Sheriff's Department,AggAssault_sum,243
2021,Alameda County,Alameda Co. Sheriff's Department,PropertyCrime_sum,61156
2021,Alpine County,Alpine Co. Sheriff's Department,PropertyCrime_sum,23
2021,Amador County,Amador Co. Sheriff's Department,PropertyCrime_sum,716
2021,Butte County,Butte Co. Sheriff's Department,PropertyCrime_sum,4785
2021,Calaveras County,Calaveras Co. Sheriff's Department,PropertyCrime_sum,677
2021,Colusa County,Colusa Co. Sheriff's Department,PropertyCrime_sum,316
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,PropertyCrime_sum,22571
2021,Del Norte County,Del Norte Co. Sheriff's Department,PropertyCrime_sum,570
2021,El Dorado County,El Dorado Co. Sheriff's Department,PropertyCrime_sum,2318
2021,Fresno County,Fresno Co. Sheriff's Department,PropertyCrime_sum,25108
2021,Glenn County,Glenn Co. Sheriff's Department,PropertyCrime_sum,352
2021,Humboldt County,Humboldt Co. Sheriff's Department,PropertyCrime_sum,3783
2021,Imperial County,Imperial Co. Sheriff's Department,PropertyCrime_sum,3208
2021,Inyo County,Inyo Co. Sheriff's Department,PropertyCrime_sum,337
2021,Kern County,Kern Co. Sheriff's Department,PropertyCrime_sum,29208
2021,Kings County,Kings Co. Sheriff's Department,PropertyCrime_sum,2324
2021,Lake County,Lake Co. Sheriff's Department,PropertyCrime_sum,1188
2021,Lassen County,Lassen Co. Sheriff's Department,PropertyCrime_sum,379
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,PropertyCrime_sum,18771
2021,Madera County,Madera Co. Sheriff's Department,PropertyCrime_sum,3344
2021,Marin County,Marin Co. Sheriff's Department,PropertyCrime_sum,3807
2021,Mariposa County,Mariposa Co. Sheriff's Department,PropertyCrime_sum,242
2021,Mendocino County,Mendocino Co. Sheriff's Department,PropertyCrime_sum,1216
