zip_code,median,lat,lng,mortgage
90280,470200,33.94453,-118.19256,7674
90290,1184900,34.09725,-118.6125,1137
90291,1899800,33.99447,-118.46315,3487
90292,1076900,33.97865,-118.44707,3103
90293,899000,33.95071,-118.43745,2293
90301,547900,33.95647,-118.35863,2348
90302,590000,33.97472,-118.35565,2457
90303,606100,33.93601,-118.33112,1961
90304,586600,33.93736,-118.35879,1491
90305,646500,33.9583,-118.33113,3023
90401,1393800,34.01584,-118.49251,239
90402,2000000,34.03598,-118.50391,2178
90403,1523400,34.03164,-118.48975,2163
90404,922900,34.02665,-118.47381,1609
90405,1430800,34.01208,-118.4679,3011
90501,724900,33.8336,-118.31419,4334
90502,520700,33.83497,-118.29291,2981
90503,861000,33.84089,-118.3538,5734
90504,712300,33.86693,-118.33135,4886
90505,916100,33.80904,-118.34775,5209
90601,626500,34.0078,-118.03287,4603
90602,601600,33.97317,-118.02341,2177
90603,649600,33.94487,-117.99239,3672
90604,591400,33.93012,-118.01226,5731
90605,556000,33.95209,-118.02085,5284
90606,509600,33.97742,-118.0661,4188
90620,622700,33.84616,-118.01176,6824
90621,643200,33.87396,-117.99346,2815
90623,739200,33.85038,-118.04088,2036
90630,700100,33.81814,-118.03814,7583
90631,628900,33.94266,-117.95126,9507
90638,630100,33.90236,-118.00907,8179
90640,558600,34.01506,-118.111,5175
90650,487800,33.90703,-118.08249,12226
90660,490300,33.98868,-118.09111,7865
90670,492100,33.93279,-118.0626,2499
90680,472800,33.80115,-117.99532,2847
90701,635000,33.8676,-118.08055,1584
90703,762700,33.86797,-118.06874,7266
90704,863800,33.3765,-118.43678,301
90706,535300,33.88802,-118.12709,6226
90710,523400,33.79806,-118.29918,3111
90712,622800,33.849,-118.14677,5548
90713,638600,33.84797,-118.11268,5708
90715,555400,33.84037,-118.07887,2632
90716,442000,33.8305,-118.07295,1018
90717,649400,33.79345,-118.31706,2300
90720,1004200,33.79573,-118.06342,3695
90723,411900,33.89768,-118.16508,3714
90731,657700,33.7334,-118.27398,5486
90732,657400,33.74319,-118.31048,4387
90740,442000,33.75461,-118.07129,3345
90742,1140400,33.71834,-118.07174,103
90743,2000000,33.72963,-118.08594,60
90744,471000,33.77821,-118.26087,3745
90745,516000,33.82117,-118.26458,7219
90746,585600,33.85855,-118.25518,4988
90755,553100,33.80274,-118.16747,1661
90802,460300,33.75035,-118.21143,3445
90803,943000,33.76162,-118.12178,5204
90804,541000,33.78223,-118.14917,2422
90805,469100,33.86494,-118.18051,8530
90806,568400,33.80819,-118.17797,3644
90807,661100,33.83098,-118.18113,5237
90808,708300,33.82406,-118.11236,8272
90810,464500,33.81912,-118.22096,3729
90813,430500,33.78237,-118.19656,1746
90814,738900,33.7716,-118.14351,2229
90815,701600,33.79572,-118.11592,7219
91001,887100,34.19522,-118.13866,7252
91006,1074000,34.1352,-118.02667,4284
91007,1056600,34.12842,-118.04818,3503
91008,1414100,34.15363,-117.96862,157
91010,560900,34.14114,-117.95918,3841
91011,1671000,34.21757,-118.20346,4036
91016,707400,34.15246,-118.00065,4939
91020,719600,34.21144,-118.23065,780
91024,1048300,34.17177,-118.04654,1962
91030,1174400,34.11029,-118.15748,3543
91040,638100,34.25861,-118.33468,4183
91042,617400,34.30687,-118.25701,3870
91101,615200,34.14671,-118.13895,1139
91103,780200,34.16738,-118.16446,2847
91104,836500,34.16766,-118.12341,5053
91105,1306200,34.14045,-118.16716,2010
91106,811200,34.13861,-118.12825,2444
91107,913700,34.15919,-118.08688,4880
91108,2000000,34.12232,-118.11363,2020
91201,916000,34.17041,-118.28902,1745
91202,876700,34.18221,-118.26761,2598
91203,592600,34.15287,-118.26355,772
91204,561800,34.13554,-118.26093,362
91205,677200,34.13679,-118.24339,1278
91206,910500,34.16076,-118.21311,3360
91207,1092700,34.16872,-118.24477,1618
91208,1054700,34.19333,-118.23839,2789
91214,851700,34.23759,-118.24778,5808
91301,871000,34.12314,-118.75685,5599
91302,1341400,34.12295,-118.67193,4941
91303,536400,34.19784,-118.6017,1338
91304,677700,34.22472,-118.63261,6334
91306,592400,34.20926,-118.5755,5812
91307,714600,34.20177,-118.66226,5304
91311,679000,34.29011,-118.60776,6418
91316,724500,34.15836,-118.51658,4304
91320,755800,34.17339,-118.94795,8220
91321,513500,34.36479,-118.4922,4622
