Index,Zip Code,Students Standard Exceeded_english2022,Students Standard Met_english2022,Students Standard Met and Above_english2022,Students Standard Nearly Met_english2022,Students Standard Not Met_english2022,Students with Scores_english2022,Percentage Standard Exceeded_english2022,Percentage Standard Met_english2022,Percentage Standard Met and Above_english2022,Percentage Standard Nearly Met_english2022,Percentage Standard Not Met_english2022,Median Mortgage
172,91201,351,347,698,236,231,1165,30.12875536,29.78540773,59.91416309,20.25751073,19.82832618,916000
173,91202,459,514,973,402,392,1767,25.9762309,29.08885116,55.06508206,22.75042445,22.18449349,876700
174,91203,46,40,86,41,73,200,23,20,43,20.5,36.5,592600
175,91204,164,121,285,76,81,442,37.1040724,27.37556561,64.47963801,17.19457014,18.32579186,561800
176,91205,434,379,813,362,440,1615,26.87306502,23.46749226,50.34055728,22.41486068,27.24458204,677200
177,91206,438,784,1222,652,712,2586,16.93735499,30.31709203,47.25444702,25.21268368,27.5328693,910500
178,91208,265,216,481,116,96,693,38.23953824,31.16883117,69.40836941,16.73881674,13.85281385,1054700
179,91214,1892,1326,3218,600,369,4187,45.18748507,31.66945307,76.85693814,14.33006926,8.812992596,851700
180,91301,665,594,1259,341,203,1803,36.88297282,32.94509151,69.82806434,18.91292291,11.25901276,871000
181,91302,888,963,1851,523,402,2776,31.98847262,34.69020173,66.67867435,18.84005764,14.48126801,1341400
182,91303,159,280,439,355,624,1418,11.21297602,19.7461213,30.95909732,25.03526093,44.00564175,536400
183,91304,284,337,621,351,568,1540,18.44155844,21.88311688,40.32467532,22.79220779,36.88311688,677700
184,91306,300,584,884,605,997,2486,12.06757844,23.4915527,35.55913113,24.33628319,40.10458568,592400
185,91307,399,214,613,103,112,828,48.1884058,25.84541063,74.03381643,12.43961353,13.52657005,714600
186,91311,562,669,1231,505,550,2286,24.58442695,29.26509186,53.84951881,22.09098863,24.05949256,679000
187,91316,220,119,339,83,73,495,44.44444444,24.04040404,68.48484848,16.76767677,14.74747475,724500
188,91320,912,895,1807,489,422,2718,33.55408389,32.92862399,66.48270787,17.99116998,15.52612215,755800
189,91321,877,1131,2008,774,766,3548,24.71815107,31.87711387,56.59526494,21.8151071,21.58962796,513500
190,91324,801,912,1713,563,534,2810,28.50533808,32.45551601,60.96085409,20.03558719,19.00355872,680200
191,91325,786,819,1605,615,764,2984,26.34048257,27.4463807,53.78686327,20.60991957,25.60321716,720900
192,91326,809,410,1219,201,153,1573,51.43038779,26.06484425,77.49523204,12.77813096,9.726636999,846700
193,91331,613,1129,1742,1287,2160,5189,11.81345153,21.75756408,33.57101561,24.80246676,41.62651763,487600
194,91335,878,1173,2051,913,1156,4120,21.31067961,28.47087379,49.7815534,22.16019417,28.05825243,580500
195,91340,424,1111,1535,1200,1761,4496,9.430604982,24.71085409,34.14145907,26.69039146,39.16814947,515000
196,91342,806,1455,2261,1334,1722,5317,15.15892421,27.36505548,42.52397969,25.08933609,32.38668422,520900
197,91343,629,1062,1691,1152,1999,4842,12.99049979,21.9330855,34.9235853,23.79182156,41.28459314,608500
198,91344,1902,2332,4234,1451,1343,7028,27.06317587,33.18155948,60.24473534,20.64598748,19.10927718,690300
199,91345,91,67,158,72,98,328,27.74390244,20.42682927,48.17073171,21.95121951,29.87804878,558000
200,91350,1162,1083,2245,702,576,3523,32.98325291,30.74084587,63.72409878,19.92619926,16.34970196,605800
