zip_code,lat,lng,city,population,density,county
90605,33.95209,-118.02085,Whittier,42600,2575.5,Los Angeles
90606,33.97742,-118.0661,Whittier,32583,3316.3,Los Angeles
90620,33.84616,-118.01176,Buena Park,47104,2855.2,Orange
90621,33.87396,-117.99346,Buena Park,36385,3351.8,Orange
90623,33.85038,-118.04088,La Palma,15703,3342.1,Orange
90630,33.81814,-118.03814,Cypress,50543,3173.1,Orange
90631,33.94266,-117.95126,La Habra,69601,1923,Orange
90638,33.90236,-118.00907,La Mirada,46335,2308.5,Los Angeles
90639,33.90565,-118.01499,La Mirada,2103,5780.1,Los Angeles
90640,34.01506,-118.111,Montebello,62941,2920,Los Angeles
90650,33.90703,-118.08249,Norwalk,103427,4032.7,Los Angeles
90660,33.98868,-118.09111,Pico Rivera,62383,3107.7,Los Angeles
90670,33.93279,-118.0626,Santa Fe Springs,17446,809.6,Los Angeles
90680,33.80115,-117.99532,Stanton,30500,4614.1,Orange
90701,33.8676,-118.08055,Artesia,16390,3886.1,Los Angeles
90703,33.86797,-118.06874,Cerritos,49989,2206.2,Los Angeles
90704,33.3765,-118.43678,Avalon,3940,20,Los Angeles
90706,33.88802,-118.12709,Bellflower,79070,5000.5,Los Angeles
90710,33.79806,-118.29918,Harbor City,27998,4630.7,Los Angeles
90712,33.849,-118.14677,Lakewood,31701,2903.1,Los Angeles
90713,33.84797,-118.11268,Lakewood,29113,3241.4,Los Angeles
90715,33.84037,-118.07887,Lakewood,21174,4824.2,Los Angeles
90716,33.8305,-118.07295,Hawaiian Gardens,14050,5888.3,Los Angeles
90717,33.79345,-118.31706,Lomita,21727,4188,Los Angeles
90720,33.79573,-118.06342,Los Alamitos,23660,1502.7,Orange
90723,33.89768,-118.16508,Paramount,53938,4386.4,Los Angeles
90731,33.7334,-118.27398,San Pedro,62647,2614.2,Los Angeles
90732,33.74319,-118.31048,San Pedro,21582,2329.8,Los Angeles
90740,33.75461,-118.07129,Seal Beach,24721,863.1,Orange
90742,33.71834,-118.07174,Sunset Beach,470,963.6,Orange
90743,33.72963,-118.08594,Surfside,487,1408.5,Orange
90744,33.77821,-118.26087,Wilmington,57030,2477.9,Los Angeles
90745,33.82117,-118.26458,Carson,58327,2737.3,Los Angeles
90746,33.85855,-118.25518,Carson,28067,1873.2,Los Angeles
90747,33.86372,-118.25142,Carson,35,630.8,Los Angeles
90755,33.80274,-118.16747,Signal Hill,11813,2099.2,Los Angeles
90802,33.75035,-118.21143,Long Beach,39036,2307.8,Los Angeles
90803,33.76162,-118.12178,Long Beach,32631,3099.7,Los Angeles
90804,33.78223,-118.14917,Long Beach,37953,6787.4,Los Angeles
90805,33.86494,-118.18051,Long Beach,96840,5039.9,Los Angeles
90806,33.80819,-118.17797,Long Beach,41571,3284.6,Los Angeles
