zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
91307,26,West Hills,0
91307,32,West Hills,100
91311,26,Chatsworth,0.912492951
91311,27,Chatsworth,4.35741016
91311,32,Chatsworth,94.73009689
91316,32,Encino,100
91320,26,Newbury Park,100
91321,27,Newhall,100
91321,29,Newhall,0
91324,32,Northridge,100
91325,29,Northridge,11.63120567
91325,32,Northridge,88.36879433
91326,27,Porter Ranch,66.07607581
91326,32,Porter Ranch,33.92392419
91330,32,Northridge,100
91331,29,Pacoima,99.83617951
91331,30,Pacoima,0.163820492
91335,29,Reseda,32.42009132
91335,32,Reseda,67.57990868
91340,29,San Fernando,100
91342,27,Sylmar,0.045629427
91342,29,Sylmar,97.84193552
91342,30,Sylmar,2.112435056
91343,29,North Hills,57.63239875
91343,32,North Hills,42.36760125
91344,27,Granada Hills,80.74731808
91344,32,Granada Hills,19.25268192
91345,29,Mission Hills,100
91350,27,Santa Clarita,100
91351,27,Canyon Country,100
91352,29,Sun Valley,83.92985573
91352,30,Sun Valley,16.07014427
91354,27,Valencia,100
91355,27,Valencia,100
91356,32,Tarzana,100
91360,26,Thousand Oaks,100
91361,26,Westlake Village,99.6742671
91361,32,Westlake Village,0.325732899
91362,26,Thousand Oaks,100
91364,32,Woodland Hills,100
91367,32,Woodland Hills,100
91371,32,Woodland Hills,100
91377,26,Oak Park,100
91381,27,Stevenson Ranch,100
91384,27,Castaic,100
91387,27,Canyon Country,99.84480535
91387,29,Canyon Country,0.155194649
91387,30,Canyon Country,0
91390,27,Santa Clarita,100
91390,29,Santa Clarita,0
91401,29,Van Nuys,74.60690038
91401,32,Van Nuys,25.39309962
91402,29,Panorama City,100
91403,32,Sherman Oaks,100
91405,29,Van Nuys,100
91406,29,Van Nuys,99.94554195
91406,32,Van Nuys,0.054458049
91411,29,Van Nuys,55.00720461
91411,32,Van Nuys,44.99279539
91423,32,Sherman Oaks,100
91436,32,Encino,100
91501,30,Burbank,100
91502,30,Burbank,100
91504,29,Burbank,1.990404078
91504,30,Burbank,98.00959592
91505,29,Burbank,1.581662599
91505,30,Burbank,98.4183374
91506,30,Burbank,100
91601,29,North Hollywood,100
91602,29,North Hollywood,74.7493256
91602,30,North Hollywood,0
91602,32,North Hollywood,25.2506744
91604,32,Studio City,100
91605,29,North Hollywood,100
91606,29,North Hollywood,100
91607,29,Valley Village,94.52167071
91607,32,Valley Village,5.47832929
91608,30,Universal City,100
91701,28,Rancho Cucamonga,35.30868018
91701,33,Rancho Cucamonga,64.69131982
91702,28,Azusa,0.030483892
91702,31,Azusa,99.96951611
91706,28,Baldwin Park,0
91706,31,Baldwin Park,100
91708,35,Chino,100
91709,35,Chino Hills,27.59327645
91709,40,Chino Hills,72.40672355
91710,35,Chino,100
91710,40,Chino,0
91711,28,Claremont,99.35732648
91711,35,Claremont,0.642673522
91722,31,Covina,100
91723,31,Covina,100
91724,31,Covina,100
91724,38,Covina,0
91730,28,Rancho Cucamonga,3.340446845
91730,33,Rancho Cucamonga,52.00992988
91730,35,Rancho Cucamonga,44.64962327
91731,28,El Monte,0
91731,31,El Monte,100
91732,31,El Monte,100
91733,28,South El Monte,0.026196714
91733,31,South El Monte,95.76804001
91733,38,South El Monte,4.205763277
91737,28,Rancho Cucamonga,88.37919245
91737,33,Rancho Cucamonga,11.62080755
91739,28,Rancho Cucamonga,1.160076395
91739,33,Rancho Cucamonga,84.92136474
91739,35,Rancho Cucamonga,13.91855886
91740,28,Glendora,0.34904669
91740,31,Glendora,99.65095331
91741,28,Glendora,38.14956109
91741,31,Glendora,61.85043891
91744,31,La Puente,100
91745,31,Hacienda Heights,0.202652911
91745,38,Hacienda Heights,99.79734709
91746,31,La Puente,99.92883527
91746,38,La Puente,0.071164729
91748,31,Rowland Heights,0.029058721
91748,38,Rowland Heights,99.97094128
91750,28,La Verne,2.417905081
91750,31,La Verne,97.58209492
91752,35,Mira Loma,30.30562031
91752,39,Mira Loma,69.69437969
