zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93254,25717,39375,68,49.5,183900,1142,757,696,11,4,7,318,4,0,34.92498,-119.74834,New Cuyama,Santa Barbara
93285,23638,29194,574,58.1,89000,1692,2009,1809,0,0,0,215,73,0,35.72233,-118.50871,Wofford Heights,Kern
93286,18206,44980,3057,29.8,213100,1407,10466,6943,42,211,175,8298,715,14,36.45149,-119.1079,Woodlake,Tulare
93312,36001,97615,4049,32.7,302200,1977,59200,42830,1767,235,3863,18720,5502,39,35.39186,-119.11954,Bakersfield,Kern
93109,55574,99556,2005,45.3,1300600,3621,11289,9026,329,53,693,2253,354,96,34.40662,-119.72682,Santa Barbara,Santa Barbara
93111,57252,117480,1053,43.7,936200,3454,18468,14706,109,66,1122,3806,939,505,34.44932,-119.80223,Santa Barbara,Santa Barbara
93201,10989,33688,480,24,97300,1526,1251,805,3,22,0,1134,292,0,35.8555,-119.48338,Alpaugh,Tulare
93221,29076,61782,2724,37.8,268200,1599,14596,10369,181,151,341,6726,830,0,36.29637,-119.02992,Exeter,Tulare
93230,26984,65674,9212,33.6,235100,1569,68896,49392,3326,574,2681,34820,6408,61,36.28967,-119.62514,Hanford,Kings
93401,47492,78788,3842,36.1,711600,2891,28751,23772,767,115,1429,5750,1525,256,35.23539,-120.61834,San Luis Obispo,San Luis Obispo
93252,15495,40870,510,37.9,80600,983,3180,2461,47,52,94,1429,329,5,34.80685,-119.34664,Maricopa,Ventura
93458,17716,59937,8338,26.2,342000,1742,56572,39703,661,695,2498,49016,7084,559,34.95477,-120.49042,Santa Maria,Santa Barbara
93530,,,0,,,,6,6,0,0,0,0,0,0,36.48458,-117.87201,Keeler,Inyo
93552,20661,66289,5936,32.3,302600,1761,39776,17656,4682,638,1056,28049,1701,204,34.58412,-118.02386,Palmdale,Los Angeles
93933,33162,73856,3215,34.1,572000,2377,25056,13421,1633,80,3436,7212,3407,221,36.67566,-121.78237,Marina,Monterey
93638,16416,49021,15305,28.5,228600,1269,51353,25382,1411,268,762,41960,4315,177,37.0424,-120.03816,Madera,Madera
93030,24787,78522,6751,33.7,492200,2170,59844,39038,1278,742,3578,46538,7215,298,34.2051,-119.1753,Oxnard,Ventura
93040,24228,65625,220,36,381300,1669,1822,1420,43,44,0,1602,73,0,34.59337,-118.93657,Piru,Ventura
93455,39167,93200,2539,37.5,437600,2177,45246,34351,903,522,2049,16157,5237,429,34.84195,-120.45522,Santa Maria,Santa Barbara
90250,27239,60162,14264,33.1,609900,2366,95115,35220,23399,845,6635,51406,7590,2152,33.91383,-118.34996,Hawthorne,Los Angeles
90601,33748,76177,2945,40.3,590700,2441,30623,14155,356,487,2257,20899,2544,129,34.0078,-118.03287,Whittier,Los Angeles
90254,96152,142500,803,40.2,1649900,4001,19147,15560,137,91,1167,2152,1790,104,33.86532,-118.39616,Hermosa Beach,Los Angeles
90710,29691,65119,3639,38.8,511100,2439,28566,11455,3592,103,6650,12703,2293,357,33.79806,-118.29918,Harbor City,Los Angeles
90073,13692,,513,56.8,,,962,513,197,13,96,214,49,21,34.05738,-118.45956,Los Angeles,Los Angeles
90079,,,0,,,,0,0,0,0,0,0,0,0,34.04058,-118.25541,Los Angeles,Los Angeles
90089,7595,,20,19.2,,,3740,1957,240,0,1193,642,139,21,34.02158,-118.2856,Los Angeles,Los Angeles
90094,105453,170634,483,37.7,1092300,4001,9065,5962,539,0,1586,1031,760,7,33.97523,-118.41837,Playa Vista,Los Angeles
90095,,,0,,,,0,0,0,0,0,0,0,0,34.07121,-118.44334,Los Angeles,Los Angeles
90506,,,0,,,,0,0,0,0,0,0,0,0,33.88493,-118.33044,Torrance,Los Angeles
90747,,,0,,,,0,0,0,0,0,0,0,0,33.86372,-118.25142,Carson,Los Angeles
90755,41270,86140,1474,37.3,530200,2459,11458,5727,1313,7,2467,4183,599,240,33.80274,-118.16747,Signal Hill,Los Angeles
90831,,,0,,,,0,0,0,0,0,0,0,0,33.76824,-118.20055,Long Beach,Los Angeles
