zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
90046,68384.0,72457.0,5472,38.3,1193400.0,3898.0,49828,37331,2458,215,3194,7255,4562,1521,34.10752,-118.36575,Los Angeles,Los Angeles
90077,142980.0,222982.0,274,47.8,2000001.0,4001.0,8328,6755,151,0,669,359,661,26,34.10536,-118.45591,Los Angeles,Los Angeles
90260,26933.0,70389.0,3746,35.4,575500.0,2422.0,34540,14959,2777,264,4707,20391,3926,453,33.887679999999996,-118.34952,Lawndale,Los Angeles
90262,17243.0,57236.0,10778,31.1,422200.0,1999.0,69369,34426,6064,721,593,60625,5136,1355,33.923840000000006,-118.20133,Lynwood,Los Angeles
90263,13524.0,,0,19.7,,,1813,1069,136,0,403,355,137,40,34.039190000000005,-118.70808999999998,Malibu,Los Angeles
90278,60814.0,126979.0,1614,38.7,926500.0,3541.0,40090,25682,1454,147,6919,6732,3920,210,33.87362,-118.37028000000001,Redondo Beach,Los Angeles
90211,68101.0,96111.0,952,43.2,2000001.0,4001.0,9211,6676,310,0,1460,819,300,147,34.06498,-118.38293,Beverly Hills,Los Angeles
90056,54135.0,84387.0,930,46.2,1058500.0,3351.0,8058,1509,5213,26,321,998,875,85,33.99361,-118.36883999999999,Los Angeles,Los Angeles
90058,12672.0,27708.0,1277,24.4,325600.0,2018.0,3003,1981,187,0,3,2395,16,105,34.00264,-118.21452,Los Angeles,Los Angeles
90062,21992.0,52661.0,5838,36.0,496500.0,2215.0,35908,9645,10446,358,711,23515,1863,2091,34.0035,-118.30904,Los Angeles,Los Angeles
90220,20143.0,61279.0,10480,32.5,358700.0,1822.0,51042,13946,15782,300,534,32792,3830,951,33.88058,-118.23591,Compton,Los Angeles
90222,17324.0,57101.0,6955,29.3,384900.0,1962.0,34547,12589,8225,58,316,25439,2409,408,33.91213,-118.23721,Compton,Los Angeles
90255,16847.0,49366.0,14999,32.7,428700.0,1900.0,74390,42188,684,853,400,72352,4771,2518,33.97697,-118.21725,Huntington Park,Los Angeles
90265,106310.0,163909.0,1565,49.6,2000001.0,4001.0,18028,14685,193,45,733,2088,1771,115,34.07282,-118.84995,Malibu,Los Angeles
90266,93779.0,153926.0,1114,42.9,2000001.0,4001.0,35064,26523,176,84,5155,2847,2416,113,33.88968,-118.39705,Manhattan Beach,Los Angeles
90292,88568.0,121021.0,2602,39.8,1053700.0,3918.0,23931,17899,1979,0,1989,1963,1447,191,33.97865,-118.44707,Marina Del Rey,Los Angeles
90304,17904.0,47612.0,5399,31.6,537400.0,2084.0,26584,11039,1118,143,1297,23305,2218,750,33.93736,-118.35878999999998,Inglewood,Los Angeles
90505,46882.0,95113.0,2256,42.5,882600.0,3126.0,36820,17291,964,308,13818,5253,2855,369,33.80904,-118.34775,Torrance,Los Angeles
90621,27471.0,72000.0,4670,35.9,617100.0,2453.0,35448,13827,1236,219,12918,15498,1494,509,33.87396,-117.99346000000001,Buena Park,Orange
90640,25673.0,62521.0,7616,36.9,520200.0,2308.0,62873,31776,591,497,8423,49708,4620,1764,34.01506,-118.111,Montebello,Los Angeles
90650,25151.0,77425.0,10102,35.3,461000.0,2119.0,104524,38909,5686,480,13825,70914,6546,1247,33.90703,-118.08248999999999,Norwalk,Los Angeles
90002,14296.0,42245.0,15103,28.5,378000.0,1915.0,53402,20613,9157,1415,843,43112,2904,2273,33.949059999999996,-118.24678999999999,Los Angeles,Los Angeles
90005,25990.0,42398.0,9590,35.4,889600.0,3306.0,38885,9625,1906,241,13017,19214,3478,5455,34.05939,-118.30909,Los Angeles,Los Angeles
90011,14354.0,44616.0,29775,29.6,418300.0,2072.0,110750,40035,7505,1419,532,101144,6635,7629,34.006890000000006,-118.25861,Los Angeles,Los Angeles
93646,13202.0,27909.0,4638,26.8,171300.0,1137.0,11240,7071,117,15,0,10409,1243,0,36.63218,-119.28938000000001,Orange Cove,Tulare
93647,14775.0,41402.0,4150,28.6,165500.0,1317.0,11485,6382,234,688,833,9838,728,0,36.58449,-119.17773000000001,Orosi,Tulare
93653,39470.0,83462.0,135,48.9,412400.0,1650.0,1304,1113,0,39,21,161,67,0,37.247690000000006,-119.91882,Raymond,Madera
93657,25029.0,60689.0,7691,33.4,294200.0,1685.0,36557,25571,34,543,1822,25076,2090,24,36.78853,-119.4378,Sanger,Fresno
93703,16168.0,32170.0,10297,30.2,165800.0,1239.0,32102,16830,2941,329,3924,19142,2528,512,36.768840000000004,-119.76248999999999,Fresno,Fresno
93725,17716.0,52477.0,6105,28.7,216000.0,1373.0,27167,14486,1185,463,4439,17851,1049,0,36.626670000000004,-119.73501,Fresno,Fresno
