,Zip Code,Students Standard Exceeded,Students Standard Met,Students Standard Met and Above,Students Standard Nearly Met,Students Standard Not Met,Students with Scores,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Median Mortgage
40,90044,201.0,466.0,667.0,915.0,2990.0,4572,4.396325459317586,10.192475940507437,14.588801399825021,20.01312335958005,65.39807524059492,461200
41,90045,367.0,384.0,751.0,465.0,686.0,1902,19.295478443743427,20.189274447949526,39.484752891692956,24.44794952681388,36.067297581493165,1103500
42,90046,577.0,377.0,954.0,372.0,485.0,1811,31.860850358917723,20.81722805080066,52.67807840971839,20.541137493097736,26.780784097183876,1290400
43,90047,69.0,228.0,297.0,557.0,2053.0,2907,2.3735810113519094,7.8431372549019605,10.21671826625387,19.16064671482628,70.62263501891984,519400
44,90048,76.0,65.0,141.0,45.0,72.0,258,29.457364341085274,25.1937984496124,54.65116279069767,17.441860465116278,27.906976744186046,1441200
45,90049,799.0,537.0,1336.0,516.0,443.0,2295,34.81481481481482,23.398692810457515,58.21350762527233,22.483660130718956,19.302832244008712,2000000
46,90057,104.0,278.0,382.0,462.0,869.0,1713,6.0712200817279625,16.228838295388208,22.30005837711617,26.970227670753065,50.72971395213076,576200
47,90058,21.0,23.0,44.0,45.0,118.0,207,10.144927536231885,11.11111111111111,21.256038647342994,21.73913043478261,57.00483091787439,419600
48,90059,142.0,314.0,456.0,667.0,1562.0,2685,5.288640595903166,11.694599627560521,16.983240223463685,24.841713221601488,58.17504655493483,415100
49,90061,81.0,272.0,353.0,611.0,1685.0,2649,3.057757644394111,10.268025670064175,13.325783314458286,23.06530766326916,63.608909022272556,438800
50,90062,96.0,125.0,221.0,351.0,1074.0,1646,5.83232077764277,7.594167679222358,13.426488456865126,21.32442284325638,65.24908869987848,550600
51,90063,635.0,1145.0,1780.0,2283.0,5326.0,9389,6.76323357120034,12.195121951219512,18.958355522419854,24.31568857173288,56.72595590584727,481100
52,90064,234.0,211.0,445.0,239.0,370.0,1054,22.2011385199241,20.01897533206831,42.22011385199241,22.67552182163188,35.10436432637571,1388300
53,90065,641.0,602.0,1243.0,893.0,1440.0,3576,17.92505592841163,16.834451901565995,34.75950782997763,24.972035794183444,40.26845637583892,833400
54,90066,671.0,714.0,1385.0,923.0,1329.0,3637,18.449271377508936,19.631564476216663,38.080835853725596,25.378058839703048,36.541105306571346,1282100
55,90068,16.0,20.0,36.0,23.0,10.0,69,23.18840579710145,28.985507246376812,52.17391304347826,33.33333333333333,14.492753623188406,1500800
56,90069,52.0,34.0,86.0,33.0,17.0,136,38.23529411764706,25.0,63.23529411764706,24.264705882352942,12.5,890100
57,90077,103.0,50.0,153.0,21.0,5.0,179,57.54189944134078,27.932960893854748,85.47486033519553,11.731843575418994,2.793296089385475,2000000
58,90094,81.0,52.0,133.0,42.0,20.0,195,41.53846153846154,26.666666666666668,68.2051282051282,21.53846153846154,10.256410256410255,1132000
59,90201,493.0,1098.0,1591.0,2107.0,4697.0,8395,5.872543180464563,13.079213817748661,18.951756998213224,25.098272781417506,55.94997022036927,440500
60,90210,108.0,73.0,181.0,62.0,21.0,264,40.909090909090914,27.65151515151515,68.56060606060606,23.484848484848484,7.954545454545454,2000000
61,90211,118.0,86.0,204.0,75.0,35.0,314,37.57961783439491,27.388535031847134,64.96815286624204,23.88535031847134,11.146496815286625,2000000
62,90212,284.0,239.0,523.0,296.0,246.0,1065,26.666666666666668,22.44131455399061,49.10798122065728,27.793427230046948,23.098591549295776,2000000
63,90220,338.0,553.0,891.0,860.0,1805.0,3556,9.50506186726659,15.551181102362206,25.056242969628794,24.184476940382453,50.759280089988756,394900
64,90221,356.0,615.0,971.0,1049.0,2234.0,4254,8.368594264221908,14.456981664315938,22.825575928537848,24.65914433474377,52.51527973671838,412600
65,90222,287.0,407.0,694.0,592.0,927.0,2213,12.96882060551288,18.391323994577498,31.360144600090372,26.75101671938545,41.888838680524174,420700
66,90230,1010.0,724.0,1734.0,765.0,911.0,3410,29.61876832844575,21.2316715542522,50.85043988269795,22.434017595307918,26.715542521994134,849200
67,90232,145.0,120.0,265.0,132.0,133.0,530,27.358490566037734,22.641509433962266,50.0,24.90566037735849,25.09433962264151,1219100
68,90240,435.0,522.0,957.0,669.0,685.0,2311,18.823020337516226,22.587624405019472,41.4106447425357,28.948507139766335,29.640848117697967,646900
69,90241,498.0,795.0,1293.0,1158.0,2079.0,4530,10.993377483443709,17.549668874172188,28.543046357615893,25.562913907284766,45.89403973509934,627700
70,90242,487.0,814.0,1301.0,1367.0,1769.0,4437,10.97588460671625,18.345729096236198,29.321613702952444,30.80910525129592,39.869281045751634,557700
71,90245,706.0,476.0,1182.0,418.0,327.0,1927,36.63725998962117,24.701608718214842,61.33886870783601,21.69174883238194,16.969382459782047,1244200
72,90247,276.0,406.0,682.0,673.0,1443.0,2798,9.864188706218728,14.510364546104359,24.37455325232309,24.05289492494639,51.57255182273052,540800
73,90248,60.0,109.0,169.0,161.0,368.0,698,8.595988538681947,15.616045845272206,24.212034383954155,23.065902578796564,52.72206303724928,571200
74,90249,103.0,108.0,211.0,126.0,171.0,508,20.275590551181104,21.25984251968504,41.53543307086614,24.803149606299215,33.661417322834644,584000
75,90250,1006.0,1378.0,2384.0,1938.0,2861.0,7183,14.005290268689963,19.184184880968953,33.18947514965892,26.9803703188083,39.830154531532784,661400
76,90254,397.0,203.0,600.0,150.0,71.0,821,48.355663824604136,24.725943970767357,73.0816077953715,18.270401948842874,8.647990255785627,1674500
